id,sex,repro,readsite,night,month,year,first_time,time_spent_action,mean_time_bout,sd_time_bout,n,,07:00 p. m.,06:00 a. m.
*989001005064999,female,pregnant,carmen,24/04/2016,Apr,2016,20H 19M 8S,roosting,39367.5,28198.71133,2,,,
*989001005527103,female,non,carmen,21/04/2016,Apr,2016,21H 41M 29S,roosting,39023.5,34486.30483,2,,,
*989001003024646,female,lactating,carmen,02/06/2015,Jun,2015,19H 50M 28S,foraging,30021,NA,1,,,
*989001003024689,female,lactating,carmen,02/06/2015,Jun,2015,19H 36M 33S,roosting,38899.66667,41409.69508,3,,,
*989001003024648,female,lactating,carmen,22/05/2015,May,2015,19H 52M 1S,foraging,1380,NA,1,,,
*989001003024707,female,lactating,carmen,02/06/2015,Jun,2015,19H 45M 53S,roosting,38720.66667,41546.92178,3,,,
*989001003024650,female,lactating,carmen,22/05/2015,May,2015,19H 54M 38S,foraging,14466.5,17132.4902,2,,,
*989001005064922,female,pregnant,carmen,23/04/2016,Apr,2016,19H 46M 24S,roosting,38092,29551.4066,2,,,
*989001003024650,female,lactating,carmen,23/05/2015,May,2015,19H 48M 36S,foraging,9763,12610.13842,3,,,
*989001003024641,female,lactating,carmen,02/06/2015,Jun,2015,19H 39M 38S,roosting,37930.33333,41357.15759,3,,,
*989001003024650,female,lactating,carmen,24/05/2015,May,2015,19H 41M 9S,foraging,14852,20769.14038,2,,,
*989001005527058,female,pregnant,carmen,14/04/2016,Apr,2016,21H 38M 36S,roosting,37789,45814.86257,2,,,
*989001003024650,female,lactating,carmen,25/05/2015,May,2015,19H 41M 36S,foraging,14723.5,18351.54229,2,,,
*989001005527092,female,non,carmen,22/04/2016,Apr,2016,20H 40M 13S,roosting,37761.5,70220.82262,4,,,
*989001003024650,female,lactating,carmen,26/05/2015,May,2015,19H 41M 43S,foraging,30779,NA,1,,,
*989001005064962,female,pregnant,carmen,21/04/2016,Apr,2016,21H 32M 56S,roosting,37321.5,39083.91312,2,,,
*989001003024650,female,lactating,carmen,27/05/2015,May,2015,19H 46M 7S,foraging,14564.5,20419.12252,2,,,
*989001005527103,female,non,carmen,25/04/2016,Apr,2016,19H 33M 47S,roosting,37196,45622.52952,2,,,
*989001003024650,female,lactating,carmen,28/05/2015,May,2015,19H 45M 22S,foraging,15448,19954.55337,2,,,
*989001005527071,female,pregnant,carmen,19/04/2016,Apr,2016,20H 37M 7S,roosting,37147,38296.90327,2,,,
*989001003024650,female,lactating,carmen,29/05/2015,May,2015,19H 44M 45S,foraging,15676.5,20621.35506,2,,,
*989001005064909,female,pregnant,carmen,24/04/2016,Apr,2016,20H 46M 2S,roosting,36999,44901.28061,2,,,
*989001003024650,female,lactating,carmen,30/05/2015,May,2015,19H 46M 17S,foraging,30806,NA,1,,,
*989001005064903,female,pregnant,carmen,18/04/2016,Apr,2016,20H 56M 15S,roosting,36978.28571,88716.10932,7,,,
*989001003024650,female,lactating,carmen,31/05/2015,May,2015,19H 47M 6S,foraging,15661,21753.43302,2,,,
*989001005527071,female,pregnant,carmen,21/04/2016,Apr,2016,21H 1M 22S,roosting,36238.5,38755.81557,2,,,
*989001003024650,female,lactating,carmen,01/06/2015,May,2015,19H 53M 44S,foraging,264,NA,1,,,
*989001005064969,female,pregnant,carmen,20/04/2016,Apr,2016,21H 50M 2S,roosting,35525,87821.38218,7,,,
